wavenumber,intensity
599.760403,0.033267878
600.242526,0.08985786
600.724648,0.103644785
601.206771,0.080676687
601.688893,0.031499663
602.171016,0
602.653138,0
603.135261,0
603.617383,0
604.099506,0
604.581628,0
605.063751,0
605.545873,0.03227234
606.027996,0.052527073
606.510118,0.099876633
606.992241,0.124837851
607.474363,0.141753504
607.956486,0.140460509
608.438608,0.118912987
608.920731,0.085108686
609.402853,0.040706622
609.884976,0
610.367099,0
610.849221,0
611.331344,0
611.813466,0
612.295589,0
612.777711,0
613.259834,0
613.741956,0
614.224079,0
614.706201,0
615.188324,0
615.670446,0
616.152569,0
616.634691,0
617.116814,0
617.598936,0
618.081059,0
618.563181,0
619.045304,0
619.527426,0
620.009549,0
620.491671,0
620.973794,0
621.455916,0.041929837
621.938039,0.099094895
622.420161,0.140319833
622.902284,0.15960598
623.384406,0.155909915
623.866529,0.137140354
624.348651,0.115343428
624.830774,0.114481514
625.312896,0.096442873
625.795019,0.073670312
626.277141,0.043955222
626.759264,0.031949739
627.241386,0
627.723509,0
628.205631,0.034829916
628.687754,0.041971563
629.169876,0.044193163
629.651999,0.049357704
630.134121,0.03619466
630.616244,0.034764339
631.098366,0
631.580489,0
632.062611,0
632.544734,0
633.026857,0
633.508979,0
633.991102,0
634.473224,0
634.955347,0.037697331
635.437469,0.037292918
635.919592,0.036477035
636.401714,0.035577768
636.883837,0
637.365959,0
637.848082,0
638.330204,0
638.812327,0
639.294449,0
639.776572,0
640.258694,0
640.740817,0.035439253
641.222939,0.088755416
641.705062,0.10170245
642.187184,0.126899617
642.669307,0.138716445
643.151429,0.132746371
643.633552,0.114392736
644.115674,0.111588325
644.597797,0.091270861
645.079919,0.072323422
645.562042,0.037264824
646.044164,0.039323236
646.526287,0.033580265
647.008409,0.029557341
647.490532,0.033242357
647.972654,0.039412964
648.454777,0.035986342
648.936899,0.046826415
649.419022,0.074571857
649.901144,0.078631165
650.383267,0.074125745
650.865389,0.043291939
651.347512,0.044742317
651.829634,0.036426533
652.311757,0.037771957
652.793879,0.048029217
653.276002,0.048341729
653.758124,0.085673012
654.240247,0.104697109
654.722369,0.116848267
655.204492,0.116403708
655.686615,0.106976037
656.168737,0.096782533
656.65086,0.090664893
657.132982,0.090357334
657.615105,0.09580853
658.097227,0.104931629
658.57935,0.115393447
659.061472,0.105965912
659.543595,0.111780236
660.025717,0.113458179
660.50784,0.112111117
660.989962,0.108400797
661.472085,0.104211836
661.954207,0.121637015
662.43633,0.122846901
662.918452,0.122884528
663.400575,0.119976283
663.882697,0.117613416
664.36482,0.12003967
664.846942,0.107363591
665.329065,0.112207204
665.811187,0.113389592
666.29331,0.113780198
666.775432,0.115272971
667.257555,0.115182592
