frequency,cf1,cf2,cf3,cf4
399.197439,0,0.131114335,0.705816548,0.144617909
401.125929,0,0.141531502,0.703976746,0.163004641
403.054419,0,0.152016072,0.702153195,0.181286555
404.982909,0,0.162566384,0.700345757,0.199430282
406.911399,0,0.173180793,0.698554292,0.217436773
408.839889,0,0.18385767,0.696778662,0.235306976
410.768379,0,0.209230922,0.695018727,0.253041841
412.696869,0,0.221590517,0.693274348,0.270642292
414.625359,0,0.233983742,0.691545385,0.288109257
416.553849,0,0.246409371,0.689831704,0.30544366
418.482339,0,0.258866044,0.68813317,0.322646412
420.410829,0,0.271352375,0.686449646,0.339718468
422.339319,0,0.283867336,0.684781002,0.356660703
424.267809,0,0.296409594,0.683127106,0.373474027
426.196299,0,0.308977796,0.665578289,0.390159354
428.124789,0,0.321570939,0.639793223,0.406717584
430.05328,0,0.334187562,0.614291426,0.423149622
431.98177,0,0.346826542,0.589070426,0.439456319
433.91026,0,0.359486844,0.564127727,0.455638582
435.83875,0,0.372167195,0.539460868,0.471697266
437.76724,0,0.384866298,0.515067405,0.487633263
439.69573,0,0.397583141,0.490944908,0.501551354
441.62422,0,0.410316691,0.467090963,0.515470609
443.55271,0,0.425222299,0.443503179,0.529391045
445.4812,0,0.440127927,0.420179175,0.543312671
447.40969,0,0.455033836,0.397116587,0.557235466
449.33818,0,0.469939802,0.374313073,0.571159451
451.26667,0,0.484846012,0.351766304,0.585084606
453.19516,0,0.499752336,0.329473967,0.599010939
455.12365,0,0.514658774,0.307433766,0.612938456
457.05214,0,0.529565225,0.278620896,0.626867174
458.98063,0,0.544471928,0.257159584,0.64079707
460.90912,0,0.559378809,0.23594289,0.65472816
462.83761,0,0.574285757,0.214968588,0.66866041
464.7661,0,0.589192838,0.194234465,0.682593863
466.69459,0,0.60410018,0.173738325,0.696528492
468.62308,0,0.619007598,0.153477988,0.710464299
470.55157,0,0.633915314,0.133451289,0.724401283
472.48006,0,0.64882307,0.12004725,0.738339444
474.408551,0,0.663730955,0.100405655,0.752278813
476.337041,0,0.67863894,0.080992004,0.766219365
478.265531,0,0.69354714,0.055638106,0.780161092
480.194021,0,0.708455353,0.042840083,0.794104015
482.122511,0,0.723363782,0.018078195,0.808048124
484.051001,0,0.738272317,0,0.821993436
485.979491,0,0.753180974,0,0.83593992
487.907981,0,0.768089672,0,0.84988759
489.836471,0,0.782998667,0,0.863836448
491.764961,0,0.797907739,0,0.877786493
493.693451,0,0.812817072,0,0.891737724
495.621941,0,0.827726537,0,0.905690126
497.550431,0,0.852073343,0,1
499.478921,0,0.959562185,0,0.993815413
501.407411,0,1,0,0.912600589
503.335901,0,0.896458516,0.064403537,0.775904659
505.264391,0,0.63918557,0.267283839,0.601180118
507.192881,0,0.229658617,0.488662253,0.406211904
509.121371,0,0,0.701592805,0.210304531
511.049861,0,0,0.875933223,0.043822571
512.978351,0,0,0.984644355,0
514.906841,0,0,1,0
516.835331,0,0,0.894296967,0
518.763821,0,0,0.88646215,0
520.692312,0,0,0.875993899,0
522.620802,0,0,0.862054644,0
524.549292,0,0.166278151,0.845163774,0
526.477782,0,0.142963514,0.827118226,0
528.406272,0,0,0.809726333,0
530.334762,0,0,0.793746755,0
532.263252,0,0,0.779035552,0
534.191742,0,0,0.765325237,0
536.120232,0,0,0.752781042,0
538.048722,0,0,0.741651932,0
539.977212,0,0,0.73143955,0
541.905702,0,0,0.72119888,0
543.834192,0,0,0.710592388,0
545.762682,0,0,0.699829643,0.0137077
547.691172,0,0,0.688890059,0.028556975
549.619662,0,0.092147255,0.677487456,0.038652971
551.548152,0,0.09269489,0.665544527,0.043893407
553.476642,0,0.073477763,0.653394337,0.045125965
555.405132,0,0,0.641533336,0.043482933
557.333622,0,0,0.630198293,0.046829336
559.262112,0,0,0.619223722,0.052579099
561.190602,0,0,0.608326015,0.058663727
563.119092,0,0,0.597428876,0.063404199
565.047583,0,0.071462809,0.586609239,0.066851226
566.976073,0,0.114246854,0.575813968,0.07052686
568.904563,0,0.177043648,0.564861103,0.075316289
570.833053,0,0.230909508,0.553697694,0.080486468
572.761543,0,0.269874991,0.542381196,0.08531555
574.690033,0,0.286266638,0.530867906,0.089727014
576.618523,0,0.277128233,0.519108111,0.093631875
578.547013,0,0.249157935,0.507238721,0.097385081
580.475503,0,0.214421786,0.495459526,0.101727236
582.403993,0,0.183720943,0.483870482,0.106722372
584.332483,0,0.166652148,0.472514363,0.112400841
586.260973,0,0.169583641,0.461381837,0.119586461
588.189463,0,0.188932797,0.450391871,0.128208746
590.117953,0,0.213960573,0.439461095,0.136463336
592.046443,0,0.237264482,0.428535385,0.142793858
593.974933,0,0.256629872,0.417603402,0.147162645
595.903423,0,0.270924005,0.40669786,0.150316214
597.831913,0,0.280002582,0.395816137,0.152913844
599.760403,0,0.286890409,0.384927742,0.155369632
601.688893,0,0.297140339,0.374073114,0.158209616
603.617383,0,0.314140216,0.363316412,0.1620322
605.545873,0,0.335787768,0.352631369,0.166912219
607.474363,0,0.356707674,0.341942213,0.172324554
609.402853,0,0.372106546,0.331223709,0.177736542
611.331344,0,0.380472056,0.324149027,0.183131571
613.259834,0,0.383208622,0.317202281,0.188733245
615.188324,0,0.381112307,0.310342966,0.194084785
617.116814,0,0.375349537,0.303511898,0.198223602
619.045304,0,0.371043042,0.296716954,0.200980105
620.973794,0,0.372821077,0.289996948,0.203123697
622.902284,0,0.379131772,0.283322185,0.205300912
624.830774,0,0.386719987,0.276648871,0.207753026
626.759264,0.041228665,0.395412702,0.270025888,0.210632053
628.687754,0.043431491,0.405267835,0.26355141,0.213846489
630.616244,0.040174553,0.415205425,0.262318271,0.217225691
632.544734,0.074622038,0.424665446,0.258291816,0.22084843
634.473224,0.079801922,0.433047433,0.252193669,0.224613987
636.401714,0.085462018,0.440057577,0.246152026,0.228091877
638.330204,0.093174462,0.446937146,0.240169946,0.231055205
640.258694,0.084535126,0.45467558,0.234265103,0.233624568
642.187184,0.119666393,0.462321781,0.228440729,0.235999951
644.115674,0.136092532,0.468736412,0.222694104,0.238355227
646.044164,0.15274773,0.474387893,0.217041872,0.240807463
647.972654,0.14674314,0.480394245,0.20115043,0.243338562
649.901144,0.160750834,0.486769911,0.195864058,0.243729977
651.829634,0.171043807,0.49242511,0.190668472,0.246270908
653.758124,0.177660388,0.49655557,0.185545124,0.248723427
655.686615,0.182232198,0.499533865,0.180500263,0.250891252
657.615105,0.186974765,0.50259009,0.175557219,0.252702844
659.543595,0.193726454,0.506878586,0.170740013,0.254371569
661.472085,0.224999293,0.512629463,0.166054638,0.256152537
663.400575,0.236494091,0.519235114,0.161482347,0.258062789
665.329065,0.249266441,0.525874325,0.157000653,0.259987074
667.257555,0.262276726,0.531421476,0.152596609,0.261849434
669.186045,0.274347883,0.5344114,0.148253638,0.263542149
671.114535,0.285148184,0.534367225,0.143955157,0.264926613
673.043025,0.295019292,0.532782046,0.136695815,0.265993315
674.971515,0.304399205,0.531897873,0.132589683,0.266906306
676.900005,0.318488974,0.532935989,0.128577125,0.267926447
678.828495,0.327680989,0.535932158,0.124673456,0.269262982
680.756985,0.337180236,0.540554116,0.123627977,0.270887976
682.685475,0.348118709,0.546371184,0.122837157,0.272583102
684.613965,0.360978607,0.552579366,0.11914464,0.274187575
686.542455,0.374409338,0.55825748,0.115513486,0.275671934
688.470945,0.386687618,0.493630387,0.11192732,0.277008862
690.399435,0.397664803,0.498116105,0.108385383,0.278134472
692.327925,0.408239429,0.502681345,0.104897974,0.279061457
694.256415,0.418715736,0.507625119,0.101477435,0.279930591
696.184905,0.42862567,0.512645713,0.098131035,0.280890379
698.113395,0.43791376,0.517038693,0.094863473,0.281960495
700.041885,0.447304096,0.520536174,0.091680932,0.283066527
701.970376,0.457340667,0.52366481,0.088584017,0.284195125
703.898866,0.467812566,0.527088033,0.085562447,0.285416749
705.827356,0.478044198,0.530905749,0.082604416,0.286728521
707.755846,0.487487766,0.534799736,0.079708128,0.287997598
709.684336,0.496392317,0.538605385,0.076878394,0.289124104
711.612826,0.505776463,0.542463716,0.066659789,0.290163877
713.541316,0.516401362,0.546503497,0.069029769,0.291245659
715.469806,0.52785076,0.550617066,0.066424106,0.292429322
717.398296,0.538803924,0.554700995,0.063882624,0.293664504
719.326786,0.548406067,0.558933599,0.061400033,0.294852582
721.255276,0.557157058,0.563561657,0.058968778,0.29593353
723.183766,0.566143627,0.568557785,0.056585281,0.296903253
725.112256,0.575946022,0.571586889,0.054249148,0.297754243
727.040746,0.586815067,0.575044008,0.054155322,0.298458187
728.969236,0.598998081,0.579210399,0.051892306,0.29904038
